0;1
PELA ORDEM;"O SR. TONINHO WANDSCHEER (PROS - PR. Pela ordem. Sem revisão do orador.) - Sra. Presidente, quero parabenizar o Deputado Federal Sergio Souza, paranaense, que fez um relatório muito importante para o Brasil.
O PROS orienta o voto ""sim"" ao PLV e ""não"", nesta votação."
PELA ORDEM;"O SR. TONINHO WANDSCHEER (PROS - PR. Pela ordem. Sem revisão do orador.) - O PROS orienta o voto ""sim"", Sra. Presidenta.
Há 2 anos que votamos esta matéria e inserimos na Constituição a possibilidade deste esporte. Não sei até quando serão questionadas as decisões desta Casa. 
Se for preciso votar mais uma vez outro projeto para que este esporte aconteça no Brasil, eu tenho certeza de que esta Casa o aprovará novamente. 
O PROS vota ""sim""."
PELA ORDEM;"O SR. TONINHO WANDSCHEER (PROS - PR. Pela ordem. Sem revisão do orador.) - Sra. Presidente, o PROS orienta o voto ""não"". 
Nós não podemos proibir a vaquejada. Temos que facilitar as condições para este esporte, que, sem dúvida alguma, reflete a cultura do Rio Grande do Sul, do Nordeste, de todos os Estados do Brasil, cada um a seu modo. 
Nós temos que votar ainda hoje este projeto tão importante para o esporte equestre no País.
O PROS vota ""não""."
PELA ORDEM;"O SR. TONINHO WANDSCHEER (PROS - PR. Pela ordem. Sem revisão do orador.) - Sr. Presidente, o PROS encaminha o voto ""não"" à retirada de pauta. Já está na hora de votarmos a reforma. O povo brasileiro está aguardando que este Congresso a aprove, para que o Brasil volte a cresce e a economia volte a ficar estável.
O PROS vota ""não""."
COMO LÍDER;"O SR. TONINHO WANDSCHEER (PROS - PR. Como Líder. Sem revisão do orador.) - Sr. Presidente, eu quero cumprimentar, principalmente, os Parlamentares do PROS e também o Deputado Samuel Moreira, o Deputado Marcelo Ramos e todos os Líderes dos partidos que assumiram esse trabalho importante de construir uma reforma da Previdência que venha a atender o nosso País.
Hoje, em quase 5 anos de mandato, é a primeira vez em que eu subo a esta tribuna. Escolhi esta data devido à importância que tem este momento para o nosso País. Essa reforma só aconteceu porque o nosso Presidente enviou para cá um projeto. Mas quem realmente construiu para que hoje nós pudéssemos votar essa reforma, esse projeto, foi esta Casa, foram aqueles Deputados que são reformistas, que não são da base do Governo nem contra o Governo, que acreditam que o Brasil precisa ainda de muitas reformas, mas que a principal delas é a reforma da Previdência.
O grande capitão dessa nave, sem dúvida, foi o nosso Presidente Rodrigo Maia. Foi ele que assumiu. Lembro-me das primeiras reuniões junto com os Líderes.
Ele soube, sem dúvida alguma, compartilhar as decisões com aqueles que queriam realmente aprovar a reforma da Previdência, que é necessária para que milhões de brasileiros que estão desempregados hoje possam arrumar um emprego.
É importante dizer - e sempre falo isto: trabalhar mais um pouco, sem dúvida alguma, é necessário neste nosso País. A reforma tem como ponto central o aumento da idade para a aposentadoria. Esse é um esforço que nós pedimos aos brasileiros, para que os seus amigos que estão desempregados um dia possam também se aposentar. Então, hoje, quando chegar a hora de votar, de colocar a nossa digital, nós vamos fazê-lo com muito orgulho, porque nós sabemos da necessidade que o Brasil tem de aprovar essa reforma.
No início, parecia que não ia acontecer. Havia muitas conversas, muitas postagens no Facebook, muitas informações que às vezes traziam tumulto entre aqueles que queriam a reforma. Mas os Parlamentares desta Casa, aqueles que acreditam que é possível mudar o Brasil, não levaram em conta essas conversas que atrapalhavam, e sim o interesse do nosso País.
Essa reforma, sem dúvida alguma, é o início de algo novo para você brasileiro que está nos assistindo agora; é o início de algo necessário para que você, que está desempregado, venha a ter um emprego. Precisamos, sim, de novas medidas do Governo para aquecer nossa economia, para gerar emprego, para gerar renda. Mas aquilo que era mais necessário nós vamos aprovar hoje. E vamos aprovar com uma votação expressiva, para mostrar ao nosso País que esses Parlamentares que estão aqui, que acreditam no País, querem realmente colocar a sua digital num projeto que vai melhorar a vida dos brasileiros.
Eu quero dizer aqui que até a participação, sem dúvida alguma, da Oposição durante todo o debate na Comissão, que foi comandada pelo Presidente Marcelo, foi importante para que fizéssemos os ajustes necessários. Por exemplo, desde o início éramos contra o BPC, contra a forma como a aposentadoria rural foi enviada para cá, contra a desconstitucionalização, algo que nós não aceitávamos. Tudo isso foi alterado para que nós chegássemos hoje aqui com uma reforma na medida exata para o nosso País.
Eu quero aqui novamente deixar bem claro o nosso agradecimento aos Líderes dos partidos que trabalharam todo dia, a todo momento, para construir esse projeto final. Nós queremos, então, agradecer a cada um. Se não fosse o envolvimento e o interesse de todos os partidos que acreditam na reforma, nós não teríamos condições de votá-la hoje aqui.
Parabéns ao Brasil! Parabéns aos brasileiros! Parabéns a todos aqueles que precisam de um emprego para levar recurso para sua casa, para levar renda para sua família! Só vamos conseguir isso porque os Deputados que vão registrar o ""sim"" daqui a pouco vão permitir que este Governo tenha condições de, arrumando a casa, arrumando a economia, fazer projetos que mudem o nosso País.
O voto do PROS é ""sim"".
Muito obrigado."
PELA ORDEM;"O SR. TONINHO WANDSCHEER (PROS - PR. Pela ordem. Sem revisão do orador.) - O PROS orienta ""sim"", aguardando a votação da Emenda Aglutinativa nº 7, que vai corrigir todas essas polêmicas sobre a renda de salário mínimo para as mulheres.
O voto do PROS é ""sim""."
PELA ORDEM;"O SR. TONINHO WANDSCHEER (PROS - PR. Pela ordem. Sem revisão do orador.) - Sr. Presidente, o PROS entende que não é suficiente aprovarmos hoje aqui a reforma da Previdência, mas entende também que é necessário e urgente. 
Por isso, o PROS vota ""sim""."
PELA ORDEM;"O SR. TONINHO WANDSCHEER (PROS - PR. Pela ordem. Sem revisão do orador.) - Sr. Presidente, essa lei cria um regramento para a atuação e para as condutas das autoridades. Isso é importante e necessário para que tenhamos uma democracia de verdade.
Portanto, o voto do PROS é ""sim""."
PELA ORDEM;"O SR. TONINHO WANDSCHEER (PROS - PR. Pela ordem. Sem revisão do orador.) - O Deputado Arnaldo Jardim falou com muita propriedade. Nós não estamos aqui decidindo se vamos comprar isso ou aquilo, mas sim como estamos comprando. Então, neste momento, nós não podemos, sem dúvida alguma - eu concordo com ele -, trazer para dentro do texto esse destaque. Nós temos que entender que, agora, é a forma, é como adquirir. E, nesse aspecto, o PROS já orientou a sua bancada: vota ""não""."
PELA ORDEM;"O SR. TONINHO WANDSCHEER (PROS - PR. Pela ordem. Sem revisão do orador.) - Presidente, o PROS não é contra o mérito do projeto, mas é contra a urgência. Há a necessidade de se debater mais.
O nosso Estado do Paraná, inclusive a pedido do nosso Governador, quer que o projeto seja mais debatido e outras informações sejam colocadas, porque o projeto que veio do Senado é mais adequado do que o que está aqui. 
Então, esperamos realmente que possamos debater mais.
À urgência, votamos ""não""."
PELA ORDEM;"O SR. TONINHO WANDSCHEER (PROS - PR. Pela ordem. Sem revisão do orador.) - Presidente, o PROS orienta ""sim"".
Eu quero informar aos Parlamentares que a companhia de saneamento do Paraná, juntamente com sua direção, tem apoiado esse projeto.
Agradeço ao Relator, que nos atendeu naquilo que precisava ser alterado no projeto para que a companhia do Paraná tivesse condições de fazer frente às licitações futuras.
Parabéns ao Relator!
O PROS orienta ""sim""."
PELA ORDEM;"O SR. TONINHO WANDSCHEER (PROS - PR. Pela ordem. Sem revisão do orador.) - Sr. Presidente, se existe alguém que entende de saneamento no Brasil, sem dúvida alguma, é a SANEPAR, do Paraná. Recebemos agora, neste momento, um áudio do Presidente da SANEPAR, em que ele pede que se aprove este projeto, que vem regulamentar o sistema em nosso País. 
O PROS vota ""sim""."
